session_id,song_id,time,combo
0c99b607,t+pazolite - Dogbite_Hard,0.0,0
0c99b607,t+pazolite - Dogbite_Hard,3.799,1
0c99b607,t+pazolite - Dogbite_Hard,6.415,0
0c99b607,t+pazolite - Dogbite_Hard,8.843,1
0c99b607,t+pazolite - Dogbite_Hard,11.143,2
0c99b607,t+pazolite - Dogbite_Hard,11.375,3
0c99b607,t+pazolite - Dogbite_Hard,13.875,4
0c99b607,t+pazolite - Dogbite_Hard,16.073,5
0c99b607,t+pazolite - Dogbite_Hard,21.243,6
0c99b607,t+pazolite - Dogbite_Hard,21.588,7
0c99b607,t+pazolite - Dogbite_Hard,21.882,8
0c99b607,t+pazolite - Dogbite_Hard,22.148,9
0c99b607,t+pazolite - Dogbite_Hard,22.497,10
0c99b607,t+pazolite - Dogbite_Hard,22.796,11
0c99b607,t+pazolite - Dogbite_Hard,23.143,12
0c99b607,t+pazolite - Dogbite_Hard,23.393,13
0c99b607,t+pazolite - Dogbite_Hard,23.657,14
0c99b607,t+pazolite - Dogbite_Hard,23.99,15
0c99b607,t+pazolite - Dogbite_Hard,24.321,16
0c99b607,t+pazolite - Dogbite_Hard,24.6,17
0c99b607,t+pazolite - Dogbite_Hard,24.686,18
0c99b607,t+pazolite - Dogbite_Hard,24.949,19
0c99b607,t+pazolite - Dogbite_Hard,25.282,20
0c99b607,t+pazolite - Dogbite_Hard,25.593,21
0c99b607,t+pazolite - Dogbite_Hard,25.908,22
0c99b607,t+pazolite - Dogbite_Hard,26.543,24
0c99b607,t+pazolite - Dogbite_Hard,26.857,25
0c99b607,t+pazolite - Dogbite_Hard,27.157,26
0c99b607,t+pazolite - Dogbite_Hard,27.424,27
0c99b607,t+pazolite - Dogbite_Hard,27.759,28
0c99b607,t+pazolite - Dogbite_Hard,28.028,29
0c99b607,t+pazolite - Dogbite_Hard,28.361,30
0c99b607,t+pazolite - Dogbite_Hard,28.643,31
0c99b607,t+pazolite - Dogbite_Hard,28.96,32
0c99b607,t+pazolite - Dogbite_Hard,29.274,33
0c99b607,t+pazolite - Dogbite_Hard,29.573,34
0c99b607,t+pazolite - Dogbite_Hard,29.853,35
0c99b607,t+pazolite - Dogbite_Hard,30.17,36
0c99b607,t+pazolite - Dogbite_Hard,30.483,37
0c99b607,t+pazolite - Dogbite_Hard,30.747,38
0c99b607,t+pazolite - Dogbite_Hard,31.111,39
0c99b607,t+pazolite - Dogbite_Hard,31.411,40
0c99b607,t+pazolite - Dogbite_Hard,31.709,41
0c99b607,t+pazolite - Dogbite_Hard,31.994,42
0c99b607,t+pazolite - Dogbite_Hard,32.278,43
0c99b607,t+pazolite - Dogbite_Hard,32.594,44
0c99b607,t+pazolite - Dogbite_Hard,32.842,45
0c99b607,t+pazolite - Dogbite_Hard,33.141,46
0c99b607,t+pazolite - Dogbite_Hard,33.507,47
0c99b607,t+pazolite - Dogbite_Hard,33.824,48
0c99b607,t+pazolite - Dogbite_Hard,34.158,49
0c99b607,t+pazolite - Dogbite_Hard,34.454,50
0c99b607,t+pazolite - Dogbite_Hard,34.789,51
0c99b607,t+pazolite - Dogbite_Hard,36.034,52
0c99b607,t+pazolite - Dogbite_Hard,36.348,53
0c99b607,t+pazolite - Dogbite_Hard,36.61,54
0c99b607,t+pazolite - Dogbite_Hard,36.871,55
0c99b607,t+pazolite - Dogbite_Hard,37.17,56
0c99b607,t+pazolite - Dogbite_Hard,37.531,57
0c99b607,t+pazolite - Dogbite_Hard,37.815,58
0c99b607,t+pazolite - Dogbite_Hard,37.949,59
0c99b607,t+pazolite - Dogbite_Hard,38.096,60
0c99b607,t+pazolite - Dogbite_Hard,38.441,61
0c99b607,t+pazolite - Dogbite_Hard,38.708,62
0c99b607,t+pazolite - Dogbite_Hard,39.055,63
0c99b607,t+pazolite - Dogbite_Hard,39.349,64
0c99b607,t+pazolite - Dogbite_Hard,39.611,65
0c99b607,t+pazolite - Dogbite_Hard,39.778,66
0c99b607,t+pazolite - Dogbite_Hard,39.959,67
0c99b607,t+pazolite - Dogbite_Hard,40.093,68
0c99b607,t+pazolite - Dogbite_Hard,40.125,69
0c99b607,t+pazolite - Dogbite_Hard,40.375,70
0c99b607,t+pazolite - Dogbite_Hard,40.544,71
0c99b607,t+pazolite - Dogbite_Hard,40.728,72
0c99b607,t+pazolite - Dogbite_Hard,40.942,73
0c99b607,t+pazolite - Dogbite_Hard,41.241,74
0c99b607,t+pazolite - Dogbite_Hard,41.539,75
0c99b607,t+pazolite - Dogbite_Hard,41.839,76
0c99b607,t+pazolite - Dogbite_Hard,42.221,77
0c99b607,t+pazolite - Dogbite_Hard,42.488,78
0c99b607,t+pazolite - Dogbite_Hard,42.787,79
0c99b607,t+pazolite - Dogbite_Hard,43.086,81
0c99b607,t+pazolite - Dogbite_Hard,43.401,82
0c99b607,t+pazolite - Dogbite_Hard,43.714,83
0c99b607,t+pazolite - Dogbite_Hard,44.041,84
0c99b607,t+pazolite - Dogbite_Hard,44.668,85
0c99b607,t+pazolite - Dogbite_Hard,45.166,86
0c99b607,t+pazolite - Dogbite_Hard,45.513,87
0c99b607,t+pazolite - Dogbite_Hard,45.826,88
0c99b607,t+pazolite - Dogbite_Hard,46.152,89
0c99b607,t+pazolite - Dogbite_Hard,46.496,90
0c99b607,t+pazolite - Dogbite_Hard,46.73,91
0c99b607,t+pazolite - Dogbite_Hard,46.878,92
0c99b607,t+pazolite - Dogbite_Hard,47.078,93
0c99b607,t+pazolite - Dogbite_Hard,47.391,94
0c99b607,t+pazolite - Dogbite_Hard,47.72,95
0c99b607,t+pazolite - Dogbite_Hard,47.853,96
0c99b607,t+pazolite - Dogbite_Hard,47.971,97
0c99b607,t+pazolite - Dogbite_Hard,48.303,98
0c99b607,t+pazolite - Dogbite_Hard,48.618,99
0c99b607,t+pazolite - Dogbite_Hard,48.96,100
0c99b607,t+pazolite - Dogbite_Hard,49.532,101
0c99b607,t+pazolite - Dogbite_Hard,49.581,0
0c99b607,t+pazolite - Dogbite_Hard,49.792,1
0c99b607,t+pazolite - Dogbite_Hard,49.925,2
0c99b607,t+pazolite - Dogbite_Hard,50.223,3
0c99b607,t+pazolite - Dogbite_Hard,50.941,0
0c99b607,t+pazolite - Dogbite_Hard,51.549,1
0c99b607,t+pazolite - Dogbite_Hard,51.566,2
0c99b607,t+pazolite - Dogbite_Hard,52.026,3
0c99b607,t+pazolite - Dogbite_Hard,52.362,5
0c99b607,t+pazolite - Dogbite_Hard,52.76,6
0c99b607,t+pazolite - Dogbite_Hard,52.894,7
0c99b607,t+pazolite - Dogbite_Hard,53.196,8
0c99b607,t+pazolite - Dogbite_Hard,53.212,9
0c99b607,t+pazolite - Dogbite_Hard,53.328,10
0c99b607,t+pazolite - Dogbite_Hard,53.594,11
0c99b607,t+pazolite - Dogbite_Hard,53.611,12
0c99b607,t+pazolite - Dogbite_Hard,53.921,13
0c99b607,t+pazolite - Dogbite_Hard,53.937,14
0c99b607,t+pazolite - Dogbite_Hard,54.453,17
0c99b607,t+pazolite - Dogbite_Hard,54.751,18
0c99b607,t+pazolite - Dogbite_Hard,54.767,19
0c99b607,t+pazolite - Dogbite_Hard,55.213,20
