session_id,song_id,time,note_time,result,note_type
0c99b607,t+pazolite - Dogbite_Hard,3.799,1.75,PERFECT,slide
0c99b607,t+pazolite - Dogbite_Hard,6.415,4.125,MISS,slide
0c99b607,t+pazolite - Dogbite_Hard,8.843,7.25,PERFECT,slide
0c99b607,t+pazolite - Dogbite_Hard,11.143,10.125,PERFECT,slide
0c99b607,t+pazolite - Dogbite_Hard,11.359,11.375,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,13.858,13.875,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,16.055,16.125,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,21.225,21.25,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,21.571,21.625,PERFECT,tap
0c99b607,t+pazolite - Dogbite_Hard,21.865,21.875,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,22.131,22.125,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,22.48,22.5,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,22.778,22.75,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,23.126,23.125,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,23.377,23.375,PERFECT,tap
0c99b607,t+pazolite - Dogbite_Hard,23.64,23.625,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,23.972,24.0,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,24.304,24.375,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,24.582,24.5,GOOD,hold
0c99b607,t+pazolite - Dogbite_Hard,24.668,24.625,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,24.932,24.875,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,25.264,25.25,PERFECT,tap
0c99b607,t+pazolite - Dogbite_Hard,25.576,25.625,PERFECT,tap
0c99b607,t+pazolite - Dogbite_Hard,25.891,25.875,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,26.525,26.5,PERFECT,tap
0c99b607,t+pazolite - Dogbite_Hard,26.525,26.5,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,26.84,26.875,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,27.14,27.125,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,27.407,27.375,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,27.742,27.75,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,28.011,28.0,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,28.344,28.375,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,28.627,28.625,PERFECT,tap
0c99b607,t+pazolite - Dogbite_Hard,28.943,28.875,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,29.257,29.25,PERFECT,hold
0c99b607,t+pazolite - Dogbite_Hard,29.556,29.625,PERFECT,hold
