session_id,song_id,time,note_time,result,note_type
caf3de85,t+pazolite - Dogbite_Basic,6.218,4.375,PERFECT,slide
caf3de85,t+pazolite - Dogbite_Basic,8.743,6.5,PERFECT,slide
caf3de85,t+pazolite - Dogbite_Basic,10.911,8.875,PERFECT,slide
caf3de85,t+pazolite - Dogbite_Basic,11.257,11.25,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,13.808,13.875,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,15.885,13.875,MISS,hold
caf3de85,t+pazolite - Dogbite_Basic,17.366,17.5,GOOD,hold
caf3de85,t+pazolite - Dogbite_Basic,20.01,17.5,MISS,hold
caf3de85,t+pazolite - Dogbite_Basic,21.335,21.5,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,21.985,21.875,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,22.3,22.25,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,22.6,22.5,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,24.339,24.375,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,25.484,25.5,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,26.452,26.5,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,27.085,27.125,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,27.7,27.75,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,28.555,28.625,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,29.222,29.25,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,29.82,29.875,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,30.949,31.0,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,33.409,33.5,GOOD,hold
caf3de85,t+pazolite - Dogbite_Basic,35.622,35.625,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,36.319,36.375,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,37.125,37.25,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,38.468,38.5,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,38.916,38.5,MISS,hold
caf3de85,t+pazolite - Dogbite_Basic,39.608,39.625,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,40.917,41.0,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,41.945,42.125,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,43.221,43.125,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,43.919,44.0,GOOD,hold
caf3de85,t+pazolite - Dogbite_Basic,44.975,45.0,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,45.883,45.875,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,46.462,46.5,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,47.138,47.125,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,47.549,47.625,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,48.164,48.25,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,48.561,48.625,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,49.158,49.25,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,49.754,49.75,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,50.05,50.125,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,50.428,50.625,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,51.217,51.375,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,51.234,51.375,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,52.211,52.0,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,52.211,52.0,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,52.474,52.625,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,52.492,52.625,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,53.885,53.875,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,53.902,53.875,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,54.515,54.5,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,54.532,54.5,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,55.151,55.125,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,55.703,55.75,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,56.836,56.875,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,58.097,58.125,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,58.411,58.375,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,58.69,58.75,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,59.629,59.75,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,60.295,60.375,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,64.112,60.625,PERFECT,slide
caf3de85,t+pazolite - Dogbite_Basic,64.93,65.0,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,65.544,65.625,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,66.34,66.125,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,66.725,66.75,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,67.367,67.375,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,67.93,68.0,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,68.428,68.625,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,69.1,69.25,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,69.909,69.875,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,70.471,70.5,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,71.518,71.625,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,72.823,72.875,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,74.06,74.125,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,75.344,75.375,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,76.518,76.625,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,77.81,77.875,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,79.014,79.0,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,80.293,80.375,GOOD,hold
caf3de85,t+pazolite - Dogbite_Basic,80.311,80.375,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,82.532,80.375,MISS,hold
caf3de85,t+pazolite - Dogbite_Basic,82.617,82.75,GOOD,hold
caf3de85,t+pazolite - Dogbite_Basic,82.65,82.75,GOOD,hold
caf3de85,t+pazolite - Dogbite_Basic,85.227,85.25,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,85.834,85.875,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,86.371,86.375,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,87.631,87.625,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,88.225,88.25,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,88.964,89.0,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,90.055,90.125,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,90.65,90.75,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,91.36,91.5,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,91.952,92.0,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,92.57,92.625,PERFECT,hold
caf3de85,t+pazolite - Dogbite_Basic,94.591,94.375,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,95.075,95.125,PERFECT,tap
caf3de85,t+pazolite - Dogbite_Basic,96.142,96.25,GOOD,tap
caf3de85,t+pazolite - Dogbite_Basic,97.34,97.5,MISS,tap
caf3de85,t+pazolite - Dogbite_Basic,98.715,98.75,PERFECT,tap
