session_id,song_id,time,reaction,note_type
caf3de85,t+pazolite - Dogbite_Basic,15.885,2.01,hold
caf3de85,t+pazolite - Dogbite_Basic,17.366,-0.134,hold
caf3de85,t+pazolite - Dogbite_Basic,20.01,2.51,hold
caf3de85,t+pazolite - Dogbite_Basic,21.335,-0.165,tap
caf3de85,t+pazolite - Dogbite_Basic,21.985,0.11,tap
caf3de85,t+pazolite - Dogbite_Basic,22.6,0.1,tap
caf3de85,t+pazolite - Dogbite_Basic,33.409,-0.091,hold
caf3de85,t+pazolite - Dogbite_Basic,37.125,-0.125,tap
caf3de85,t+pazolite - Dogbite_Basic,38.916,0.416,hold
caf3de85,t+pazolite - Dogbite_Basic,40.917,-0.083,tap
caf3de85,t+pazolite - Dogbite_Basic,41.945,-0.18,tap
caf3de85,t+pazolite - Dogbite_Basic,43.221,0.096,tap
caf3de85,t+pazolite - Dogbite_Basic,43.919,-0.081,hold
caf3de85,t+pazolite - Dogbite_Basic,48.164,-0.086,tap
caf3de85,t+pazolite - Dogbite_Basic,49.158,-0.092,tap
caf3de85,t+pazolite - Dogbite_Basic,50.428,-0.197,tap
caf3de85,t+pazolite - Dogbite_Basic,51.217,-0.158,tap
caf3de85,t+pazolite - Dogbite_Basic,51.234,-0.141,tap
caf3de85,t+pazolite - Dogbite_Basic,52.211,0.211,tap
caf3de85,t+pazolite - Dogbite_Basic,52.211,0.211,tap
caf3de85,t+pazolite - Dogbite_Basic,52.474,-0.151,tap
caf3de85,t+pazolite - Dogbite_Basic,52.492,-0.133,tap
caf3de85,t+pazolite - Dogbite_Basic,59.629,-0.121,tap
caf3de85,t+pazolite - Dogbite_Basic,65.544,-0.081,tap
caf3de85,t+pazolite - Dogbite_Basic,66.34,0.215,tap
caf3de85,t+pazolite - Dogbite_Basic,68.428,-0.197,tap
caf3de85,t+pazolite - Dogbite_Basic,69.1,-0.15,tap
caf3de85,t+pazolite - Dogbite_Basic,71.518,-0.107,tap
caf3de85,t+pazolite - Dogbite_Basic,76.518,-0.107,tap
caf3de85,t+pazolite - Dogbite_Basic,80.293,-0.082,hold
caf3de85,t+pazolite - Dogbite_Basic,82.532,2.157,hold
caf3de85,t+pazolite - Dogbite_Basic,82.617,-0.133,hold
caf3de85,t+pazolite - Dogbite_Basic,82.65,-0.1,hold
caf3de85,t+pazolite - Dogbite_Basic,90.65,-0.1,tap
caf3de85,t+pazolite - Dogbite_Basic,91.36,-0.14,tap
caf3de85,t+pazolite - Dogbite_Basic,94.591,0.216,tap
caf3de85,t+pazolite - Dogbite_Basic,96.142,-0.108,tap
caf3de85,t+pazolite - Dogbite_Basic,97.34,-0.16,tap
caf3de85,t+pazolite - Dogbite_Basic,99.826,-0.174,tap
caf3de85,t+pazolite - Dogbite_Basic,104.282,-0.093,tap
caf3de85,t+pazolite - Dogbite_Basic,104.696,-0.179,tap
caf3de85,t+pazolite - Dogbite_Basic,105.411,-0.089,tap
caf3de85,t+pazolite - Dogbite_Basic,106.485,-0.14,hold
caf3de85,t+pazolite - Dogbite_Basic,108.539,-0.086,tap
caf3de85,t+pazolite - Dogbite_Basic,111.23,-0.145,tap
caf3de85,t+pazolite - Dogbite_Basic,112.955,-0.17,tap
caf3de85,t+pazolite - Dogbite_Basic,115.911,-0.089,tap
caf3de85,t+pazolite - Dogbite_Basic,117.778,-0.097,tap
caf3de85,t+pazolite - Dogbite_Basic,117.991,-0.134,tap
caf3de85,t+pazolite - Dogbite_Basic,118.587,-0.163,tap
caf3de85,t+pazolite - Dogbite_Basic,119.017,-0.108,tap
caf3de85,t+pazolite - Dogbite_Basic,119.097,-0.153,tap
caf3de85,t+pazolite - Dogbite_Basic,119.246,-0.129,tap
caf3de85,t+pazolite - Dogbite_Basic,119.345,-0.155,tap
caf3de85,t+pazolite - Dogbite_Basic,119.558,-0.192,tap
caf3de85,t+pazolite - Dogbite_Basic,120.431,-0.194,tap
