session_id,song_id,time,score
caf3de85,t+pazolite - Dogbite_Basic,0.001,0
caf3de85,t+pazolite - Dogbite_Basic,2.008,0
caf3de85,t+pazolite - Dogbite_Basic,4.015,0
caf3de85,t+pazolite - Dogbite_Basic,6.023,0
caf3de85,t+pazolite - Dogbite_Basic,8.033,618
caf3de85,t+pazolite - Dogbite_Basic,10.048,1237
caf3de85,t+pazolite - Dogbite_Basic,12.052,2639
caf3de85,t+pazolite - Dogbite_Basic,14.055,3587
caf3de85,t+pazolite - Dogbite_Basic,16.063,3979
caf3de85,t+pazolite - Dogbite_Basic,18.075,4288
caf3de85,t+pazolite - Dogbite_Basic,20.076,4701
caf3de85,t+pazolite - Dogbite_Basic,22.084,4907
caf3de85,t+pazolite - Dogbite_Basic,24.092,5731
caf3de85,t+pazolite - Dogbite_Basic,26.104,6989
caf3de85,t+pazolite - Dogbite_Basic,28.114,8845
caf3de85,t+pazolite - Dogbite_Basic,30.117,10721
caf3de85,t+pazolite - Dogbite_Basic,32.129,11567
caf3de85,t+pazolite - Dogbite_Basic,34.14,12123
caf3de85,t+pazolite - Dogbite_Basic,36.154,13072
caf3de85,t+pazolite - Dogbite_Basic,38.168,13896
caf3de85,t+pazolite - Dogbite_Basic,40.171,15319
caf3de85,t+pazolite - Dogbite_Basic,42.176,15628
caf3de85,t+pazolite - Dogbite_Basic,44.184,16061
caf3de85,t+pazolite - Dogbite_Basic,46.195,17319
caf3de85,t+pazolite - Dogbite_Basic,48.198,19402
caf3de85,t+pazolite - Dogbite_Basic,50.199,21484
caf3de85,t+pazolite - Dogbite_Basic,52.211,21690
caf3de85,t+pazolite - Dogbite_Basic,54.216,23154
caf3de85,t+pazolite - Dogbite_Basic,56.219,25773
caf3de85,t+pazolite - Dogbite_Basic,58.23,27216
caf3de85,t+pazolite - Dogbite_Basic,60.246,28701
caf3de85,t+pazolite - Dogbite_Basic,62.261,29319
caf3de85,t+pazolite - Dogbite_Basic,64.276,29938
caf3de85,t+pazolite - Dogbite_Basic,66.292,30783
caf3de85,t+pazolite - Dogbite_Basic,68.294,32680
caf3de85,t+pazolite - Dogbite_Basic,70.305,33319
caf3de85,t+pazolite - Dogbite_Basic,72.312,34515
caf3de85,t+pazolite - Dogbite_Basic,74.323,35958
caf3de85,t+pazolite - Dogbite_Basic,76.338,37010
caf3de85,t+pazolite - Dogbite_Basic,78.34,38247
caf3de85,t+pazolite - Dogbite_Basic,80.342,39979
caf3de85,t+pazolite - Dogbite_Basic,82.352,40762
caf3de85,t+pazolite - Dogbite_Basic,84.356,41917
caf3de85,t+pazolite - Dogbite_Basic,86.371,43381
caf3de85,t+pazolite - Dogbite_Basic,88.372,45567
caf3de85,t+pazolite - Dogbite_Basic,90.388,46989
caf3de85,t+pazolite - Dogbite_Basic,92.402,48041
caf3de85,t+pazolite - Dogbite_Basic,94.409,49010
caf3de85,t+pazolite - Dogbite_Basic,96.41,49896
caf3de85,t+pazolite - Dogbite_Basic,98.414,49896
caf3de85,t+pazolite - Dogbite_Basic,100.425,51773
caf3de85,t+pazolite - Dogbite_Basic,102.425,55546
caf3de85,t+pazolite - Dogbite_Basic,104.429,58989
caf3de85,t+pazolite - Dogbite_Basic,106.436,59814
caf3de85,t+pazolite - Dogbite_Basic,108.438,62556
caf3de85,t+pazolite - Dogbite_Basic,110.45,64103
caf3de85,t+pazolite - Dogbite_Basic,112.455,64927
caf3de85,t+pazolite - Dogbite_Basic,114.459,66206
caf3de85,t+pazolite - Dogbite_Basic,116.471,69505
caf3de85,t+pazolite - Dogbite_Basic,118.471,73030
caf3de85,t+pazolite - Dogbite_Basic,120.481,74061
caf3de85,t+pazolite - Dogbite_Basic,122.488,74061
