session_id,song_id,time,combo
caf3de85,t+pazolite - Dogbite_Basic,0.001,0
caf3de85,t+pazolite - Dogbite_Basic,6.218,1
caf3de85,t+pazolite - Dogbite_Basic,8.743,2
caf3de85,t+pazolite - Dogbite_Basic,10.911,3
caf3de85,t+pazolite - Dogbite_Basic,11.274,4
caf3de85,t+pazolite - Dogbite_Basic,13.826,5
caf3de85,t+pazolite - Dogbite_Basic,17.383,6
caf3de85,t+pazolite - Dogbite_Basic,21.352,0
caf3de85,t+pazolite - Dogbite_Basic,22.003,1
caf3de85,t+pazolite - Dogbite_Basic,22.316,2
caf3de85,t+pazolite - Dogbite_Basic,22.617,3
caf3de85,t+pazolite - Dogbite_Basic,24.357,4
caf3de85,t+pazolite - Dogbite_Basic,25.501,5
caf3de85,t+pazolite - Dogbite_Basic,26.469,6
caf3de85,t+pazolite - Dogbite_Basic,27.101,7
caf3de85,t+pazolite - Dogbite_Basic,27.718,8
caf3de85,t+pazolite - Dogbite_Basic,28.572,9
caf3de85,t+pazolite - Dogbite_Basic,29.239,10
caf3de85,t+pazolite - Dogbite_Basic,29.836,11
caf3de85,t+pazolite - Dogbite_Basic,30.967,12
caf3de85,t+pazolite - Dogbite_Basic,33.426,13
caf3de85,t+pazolite - Dogbite_Basic,35.64,14
caf3de85,t+pazolite - Dogbite_Basic,36.336,15
caf3de85,t+pazolite - Dogbite_Basic,37.143,16
caf3de85,t+pazolite - Dogbite_Basic,38.484,17
caf3de85,t+pazolite - Dogbite_Basic,39.625,18
caf3de85,t+pazolite - Dogbite_Basic,40.933,19
caf3de85,t+pazolite - Dogbite_Basic,41.962,0
caf3de85,t+pazolite - Dogbite_Basic,43.239,1
caf3de85,t+pazolite - Dogbite_Basic,43.936,2
caf3de85,t+pazolite - Dogbite_Basic,44.992,3
caf3de85,t+pazolite - Dogbite_Basic,45.9,4
caf3de85,t+pazolite - Dogbite_Basic,46.479,5
caf3de85,t+pazolite - Dogbite_Basic,47.155,6
caf3de85,t+pazolite - Dogbite_Basic,47.566,7
caf3de85,t+pazolite - Dogbite_Basic,48.182,8
caf3de85,t+pazolite - Dogbite_Basic,48.578,9
caf3de85,t+pazolite - Dogbite_Basic,49.175,10
caf3de85,t+pazolite - Dogbite_Basic,49.77,11
caf3de85,t+pazolite - Dogbite_Basic,50.068,12
caf3de85,t+pazolite - Dogbite_Basic,50.445,0
caf3de85,t+pazolite - Dogbite_Basic,51.251,1
caf3de85,t+pazolite - Dogbite_Basic,52.211,0
caf3de85,t+pazolite - Dogbite_Basic,52.509,1
caf3de85,t+pazolite - Dogbite_Basic,53.902,2
caf3de85,t+pazolite - Dogbite_Basic,53.919,3
caf3de85,t+pazolite - Dogbite_Basic,54.532,4
caf3de85,t+pazolite - Dogbite_Basic,54.549,5
caf3de85,t+pazolite - Dogbite_Basic,55.167,6
caf3de85,t+pazolite - Dogbite_Basic,55.72,7
caf3de85,t+pazolite - Dogbite_Basic,56.853,8
caf3de85,t+pazolite - Dogbite_Basic,58.114,9
caf3de85,t+pazolite - Dogbite_Basic,58.428,10
caf3de85,t+pazolite - Dogbite_Basic,58.707,11
caf3de85,t+pazolite - Dogbite_Basic,59.646,12
caf3de85,t+pazolite - Dogbite_Basic,60.312,13
caf3de85,t+pazolite - Dogbite_Basic,64.112,14
caf3de85,t+pazolite - Dogbite_Basic,64.947,15
caf3de85,t+pazolite - Dogbite_Basic,65.56,16
